id,text,emojis
940418855612006400,"RT @GFRIENDaily: ✨ #VOTE_FOR_GFRIEND on MTV Asia ✨- Scroll down- ""GFRIEND - Love Whisper""- Vote- Refresh the page- Repeat the… ",✨
940418855142223900,RT @JinLoverEST: SeokJin's brother &amp; his girlfriend also went to @BTS_twt #WingsTourFinalDay3 😭 Supportive Family ❤️ https://t.co/NGqI9Qu7ke,😭❤️
940418855918342100,RT @NYIslanders: 3 🚨🚨🚨31 saves 🔥A big two points back at home for the boys. 🙌 #WSHvsNYI #Isles https://t.co/J5Iv83Q2Da,🔥
940418856094437400,RT @KherisPoppin: I have been bullied for my dark complexion since the 1st grade. I decided turned a negative into a positive situati… ,
940418855746326500,"@ToosiiDaVinci Lmfao 1) you obviously ain’t been up to date 😂 on how him and his mom finessed everybody, or how he… https://t.co/IBTn1QXE5D",😂
940418855461113900,I️ had da CD used to watch this bihh errday Kause that’s all we had that worked 😭 https://t.co/vc8Lq3xQkR,️😭
940418856094335000,Enjoying the sloppy seconds bitch ? 😂,😂
940418855792283600,Aww shucks... 😊 https://t.co/hKbhPzUqEy,😊
940418855813374000,This is so funny 😂 https://t.co/aYlUu4dZ1n,😂
940418856031436800,RT @BAP_intl: &lt;GIVEAWAY&gt; B.A.P INTERNATIONAL FIRST COLLABORATION GIVEAWAY ALBUMS EVENT!❤ Worldwide❤ 6 winners❤ Dateline: 3rd… ,❤
940418856270561300,RT @BleacherReport: Bow down to the Point God 🔥 https://t.co/5Ye2qgzGN4,🔥
940418856396390400,@GbBelvin Who’s two cents are you getting? 😂,😂
940418856534855700,RT @favLlGHTSKlN: i just wanna be babied rn 😔,😔
940418856345940000,RT @KTWorldwideOFC: Good day!!👋Make sure to check out @OneMusicPH's social media accounts for your dose of daily kilig requirement an… ,�
940418856811626500,"@taylorrharrell Right. Lol But they might have some great sales, though! 🛍 😂",😂
940418856648085500,@playboileek_ 😭 thank you 😌,😭
940418856731869200,RT @JacobAWohl: CNN declared war on President Trump after he won the GOP nomination. 100% of your reporting on him and his administ… ,
940418856698499100,RT @therealDJAshB: black tv show theme songs are underrated! 🔥 https://t.co/3eqhVZIW6v,🔥
940418857214337000,"RT @OkayyChriss: i save ALL my snap messages, it’s a habit. i hate when people be like “dont save that” .. you scared bitch? 😂",😂
940418857499615200,I dont hate but i make sure you see yourself wrong 😏,😏
940418857491226600,"RT @sighbrattt: Smh, being sexually frustated ain't no joke man 😔 I got blue clit😭😴",😔�
940418857637888000,@willthewordguy @TalonNU @AngelaLustyuk @Sarah_Ulrich @maddi_miller27 I promise the running clothes were for a clas… https://t.co/1KAWGosITE,
940418857813995500,RT @LucaWatches: 💎 GRAND OPENING 💎ALL watches are FREE today for our grand opening 🔥 Get yours here ⤵️https://t.co/4mRWuYKkye https://t.c…,🔥️
940418857998737400,RT @Harry_ThighKink: Stop 👏 comparing 👏 the 👏 boys 👏 to 👏 one 👏 another 👏 they're 👏 all 👏 doing 👏 amazing 👏 in 👏 their 👏 own 👏 way 👏Lo… ,👏
940418858288140300,RT @_Stan973: Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 https://t.co/PSAOxWXBqX,😂
940418858409701400,All of my friends have been hitting my phone tonight 😭 I️ appreciate the love,😭️
940418858917167100,"if Lebron goes any where he's going to OKC to break the Warriors up, then back to the Cavs 😂",😂
940418858703208400,RT @yoursmaichard: thank you @mainedcm 😊 https://t.co/Q0trsqxab1,😊
940418858766164000,RT @PabloPiqasso: RT if you don’t got one of these on your phone &amp; he owes you money https://t.co/fTRn3g5cAq,
940418859311525900,one of my nose rings is missing and i'm like. mildly concerned boo's eaten it somehow? he seems fine so i'm leaning toward no but 🙃,🙃
940418859336470500,RT @IndieDha_Flippa: Please Don’t Scroll Past Without 😢🤧 Retweeting My Cousin Is Missing He Was Last Seen 12-8-17 Getting Into A Black H… ,�
940418859537801200,"@Kianaxbaby_ Forreal. People used to be on my head like oh you’re burnt you’re hella dark yadayada, now they call it chocolate mf BYE 😂",😂
940418859500261400,"RT @Auria__: When Sam Smith said ""Every time you hurt me , the less I cry 🤷🏽 , every time you leave , the quicker the tears dry… ",
940418859596595200,None of my gams work on bro's hd. 😂 Im not sure if it's because of win7 and i have no idea the different settings..,😂
940418860217520100,@IAmMinas @dev_king1 she gon long him up every argument . what if her neck long? 😂,😂
940418859240128500,sounds natural 🙂 https://t.co/iXoRCfQSow,🙂
940418860292993000,RT @SoccerTweetsHQ: Deadly Body Fake 🔥 https://t.co/2e743eMsBB,🔥
940418860431355900,RT @_Stan973: Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 https://t.co/PSAOxWXBqX,😂
940418860343283700,RT @chicagobulls: #BULLSWINThat's now 3 in a row 🔥 https://t.co/7bwA0XqXIn,🔥
940418860729225200,RT @chicagobulls: #BULLSWINThat's now 3 in a row 🔥 https://t.co/7bwA0XqXIn,🔥
940418860662116400,RT @chicagobulls: #BULLSWINThat's now 3 in a row 🔥 https://t.co/7bwA0XqXIn,🔥
940418860863443000,RT @PabloPiqasso: RT if you don’t got one of these on your phone &amp; he owes you money https://t.co/fTRn3g5cAq,
940418860905250800,Toxiccccc!!! 😂,😂
940418860884332500,"@fxdedcreep Lol that was supposed to be ""bread"" not ""beard"" but beard is probably fattening too 😂",😂
940418861094064100,"RT @Lin_Manuel: You Sirius, black? I crack my knuckles and ya witherin'You tough enough, ya hufflepuff? Don't huff &amp; puff w/Slythe… ",
940418861198954500,@__attractiveee Lol it’s one person that just look like they do 😂,😂
940418860640976900,After a full packed weekend. Back to regular programming. And it’s bed weather 😒,😒
940418861056356400,RT @IMoveOnToBetter: hey guys if u have the time pls help out my lovely friend @PugfatherJeff and donate at:  https://t.co/ntXQjg4UuN :)❤,❤
940418861198954500,RT @1RealMir: Shit is weird. They wake up when they see the next nigga want her 😂 https://t.co/bBC0GVFr6o,😂
940418861307973600,RT @chicagobulls: #BULLSWINThat's now 3 in a row 🔥 https://t.co/7bwA0XqXIn,🔥
940418861316431900,RT @TeamJuJu: Let’s gooooooo boysssssss!!! Suspended But Still Strapped Up Ready To Go! 😂 RT for #FreeJuJu #TeamJuJu https://t.co/SvrkPqakRY,😂
940418861073133600,Read PLEASE @realDonaldTrump  Come on... I dare you to show some Heart ❤ Underprivileged grow into productive adult… https://t.co/53SusIywlF,❤
940418861702168600,"RT @billboard: Congrats to our female artist of the year, @ArianaGrande! She leads the ladies in '17 following the sustained cha… ",
940418862033592300,@SizeMeUpp Bye before you get me in trouble 😭,😭
940418862058754000,Shep is very picky for someone who looks like he does 😂 #RelationShep,😂
940418862264324100,Mfs BEYOND lame 😒,😒
940418862025248800,RT @King_Khail: Out yall. I ain’t do shit https://t.co/VVLAk0ygbv,
940418862226595800,RT @Jamesfilly13: Boogie can't hold harden 😂,😂
940418862683652100,i hate being away from my girl 😭,😭
940418862515982300,RT @chicagobulls: #BULLSWINThat's now 3 in a row 🔥 https://t.co/7bwA0XqXIn,🔥
940418862746611700,RT @MyBlackMatters: Love this so much ❤️. Keep doing your thing girl 👏🏾✊🏾 https://t.co/SE1jKcnfmL,❤️👏
940418862918586400,RT @WorIdStarComedy: Never forget Shaun White saving his ass when he was 19 😂 https://t.co/JNoCcNvooV,😂
940418862906003500,RT @_Stan973: Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 https://t.co/PSAOxWXBqX,😂
940418861735792600,COOKIN 🔥 https://t.co/wDQfHJjMAb,🔥
940418863161847800,RT @KherisPoppin: I have been bullied for my dark complexion since the 1st grade. I decided turned a negative into a positive situati… ,
940418863241547800,RT @_Stan973: Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 https://t.co/PSAOxWXBqX,😂
940418863275049000,RT @ltsGREYSquotes: such an iconic derek shepherd quote 💕 https://t.co/XxI5WRy0RY,💕
940418863484801000,RT @KherisPoppin: I have been bullied for my dark complexion since the 1st grade. I decided turned a negative into a positive situati… ,
940418863413506000,RT @BeccaJones_xx: It’s chilly outside... best put a jacket on 😘 SG xx https://t.co/SIlAsurIkv,😘
940418863426101200,"Can it be the weekend already so i can go home and see my family, feeling so lonely 😭",😭
940418862767595500,"By the end of this year I'll be someone *looks at calender* Fuck, Maybe someone could pick me up 😂 #ObeyRC https://t.co/95ui0F72Ee",😂
940418863468089300,RT @Ardynsama: I'm never going to get over this goddamn gif of Ignis running around on the battlefield only to FULL ON STOP becaus… ,
940418863744929800,Finished a grad Final today and tmrw I officially become a WELS Lutheran 🙂,🙂
940418863740670000,Come back to the dark side 👀 https://t.co/LdhKcdNWcQ,�
940418864176918500,RT @favLlGHTSKlN: bitch im beautiful as fuck like what 😭,😭
940418863480672300,🙌 YASSS It's time for a great show 🍭TorontoScope🍭:Follow My Beam 💕https://t.co/NU9VHPzuyS https://t.co/Cs96BrJKrJ,💕
940418864013299700,I’m weak 😂😂 https://t.co/ZeovfKxBk2,😂
940418864239792100,RT @Anti_Liberal73: @Suectoo @RyanEGraney @joeyfingers2 @PressSec @POTUS The 3 black men that trump got released from china not one tim… ,
940418864487194600,RT @MadeleineR_: @eve_steee This bitch talks hellaaa shit lmaoo ignore she has no life 😂,😂
940418864332136400,Nall females sleep on they guys https://t.co/BTmsDiMNXy,
940418864483061800,@imnotsnooty @MarchaGeorgios @CanadianSyrup @mrshutch123 @savannah7326_99 @AmazingLovelyGM @CarelessWhisprs… https://t.co/DxSqxuNjus,
940418864763977700,RT @BIackPplVids: Never forget Shaun White saving his ass when he was 19 😂  https://t.co/5NrjimPn6i,😂
940418864915021800,RT @RelatableQuote: I can’t stop laughing 😂 https://t.co/g3TK80Ywcl,😂
