id, text, originalSentiment, emoji
0,RT GFRIENDaily ✨ VOTEFORGFRIEND on MTV Asia ✨ Scroll down GFRIEND Love Whisper Vote Refresh the page Repeat the ... .,1,✨
1,RT JinLoverEST SeokJins brother amp his girlfriend also went to BTStwt WingsTourFinalDay3 😭 Supportive Family ❤️ httpstcoNGqI9Qu7ke .,1,😭❤️
2,RT NYIslanders 3 🚨 🚨 🚨 31 saves 🔥 A big two points back at home for the boys 🙌 WSHvsNYI Isles httpstcoJ5Iv83Q2Da .,1,🔥
3,RT KherisPoppin I have been bullied for my dark complexion since the 1st grade I decided turned a negative into a positive situati ... .,1,
4,ToosiiDaVinci Lmfao 1 you obviously ai n't been up to date 😂 on how him and his mom finessed everybody or how he ... httpstcoIBTn1QXE5D .,1,😂
5,I had da CD used to watch this bihh errday Kause that 's all we had that worked 😭 httpstcovc8Lq3xQkR .,1,️😭
6,Enjoying the sloppy seconds bitch 😂 .,1,😂
7,Aww shucks 😊 httpstcohKbhPzUqEy .,1,😊
8,This is so funny 😂 httpstcoaYlUu4dZ1n .,4,😂
9,RT BAPintl ltGIVEAWAYgt BAP INTERNATIONAL FIRST COLLABORATION GIVEAWAY ALBUMS EVENT ❤ Worldwide ❤ 6 winners ❤ Dateline 3rd ... .,1,❤
10,RT BleacherReport Bow down to the Point God 🔥 httpstco5Ye2qgzGN4 .,1,🔥
11,GbBelvin Who 's two cents are you getting 😂 .,1,😂
12,RT favLlGHTSKlN i just wan na be babied rn 😔 .,1,😔
13,RT KTWorldwideOFC Good day 👋 Make sure to check out OneMusicPHs social media accounts for your dose of daily kilig requirement an ... .,1,�
14,taylorrharrell Right Lol But they might have some great sales though 🛍 😂 .,1,😂
15,playboileek 😭 thank you 😌 .,3,😭
16,RT JacobAWohl CNN declared war on President Trump after he won the GOP nomination 100 of your reporting on him and his administ ... .,1,
17,RT therealDJAshB black tv show theme songs are underrated 🔥 httpstco3eqhVZIW6v .,1,🔥
18,RT OkayyChriss i save ALL my snap messages it 's a habit i hate when people be like `` dont save that '' you scared bitch 😂 .,1,😂
